,season,year,month,holiday,weekday,workingday,weather,temp,humdity,windspeed,count
67,1,1,2,0,5,1,2,0.280833,0.54,0.11692899999999999,3719.56
68,1,1,2,0,6,0,3,0.224167,0.73125,0.289796,2070.29
69,1,1,2,0,0,0,1,0.1275,0.46458299999999997,0.40921199999999996,1754.48
70,1,1,2,0,1,1,1,0.2225,0.41125,0.167283,3260.78
71,1,1,2,0,2,1,2,0.31916700000000003,0.50875,0.141179,3910.73
72,1,1,2,0,3,1,1,0.348333,0.53125,0.1816,4265.72
73,1,1,2,0,4,1,2,0.31666700000000003,0.7529170000000001,0.091425,3199.41
74,1,1,5,0,5,1,1,0.343333,0.634583,0.205846,4092.2
75,1,1,5,0,6,0,1,0.346667,0.534583,0.190929,4281.84
76,1,1,5,0,0,0,2,0.28,0.515833,0.253112,3069.3
77,1,1,5,1,1,0,1,0.28,0.507826,0.22908299999999998,3609.82
78,1,1,2,0,2,1,1,0.287826,0.594348,0.205717,3834.5
79,1,1,2,0,3,1,1,0.395833,0.567917,0.234471,4322.34
80,1,1,2,0,4,1,1,0.454167,0.554583,0.190913,6189.64
81,1,1,2,0,5,1,2,0.4075,0.7375,0.237567,3514.83
82,1,1,2,0,6,0,1,0.290833,0.395833,0.421642,3005.47
83,1,1,2,0,0,0,1,0.279167,0.41,0.205229,3336.17
84,1,1,2,0,1,1,1,0.366667,0.490833,0.26803299999999997,4281.7
85,1,1,2,0,2,1,1,0.359167,0.395833,0.193417,4293.24
86,1,1,2,0,3,1,2,0.344348,0.804783,0.179117,2546.43
87,1,1,3,0,4,1,1,0.485833,0.615417,0.226987,5409.69
88,1,1,3,0,5,1,2,0.353333,0.657083,0.144904,3517.27
89,1,1,3,0,6,0,2,0.414167,0.62125,0.161079,4114.87
90,1,1,3,0,0,0,1,0.325833,0.403333,0.334571,3418.4
91,1,1,3,0,1,1,1,0.243333,0.50625,0.228858,3063.43
92,2,1,6,0,2,1,2,0.6533329999999999,0.833333,0.21454600000000001,4810.08
93,2,1,6,0,3,1,1,0.655833,0.582083,0.343279,7156.81
94,2,1,6,0,4,1,1,0.648333,0.569583,0.253733,7051.52
95,2,1,6,0,5,1,1,0.639167,0.589583,0.176617,7058.48
96,2,1,6,0,6,0,1,0.631667,0.504167,0.166667,6204.83
97,2,1,6,0,0,0,1,0.5925,0.59875,0.144904,6462.71
98,2,1,6,0,1,1,2,0.568333,0.777917,0.174746,4993.65
99,2,1,10,0,2,1,1,0.688333,0.69,0.148017,6894.02
100,2,1,10,0,3,1,1,0.7825,0.592083,0.11381199999999998,6483.57
101,3,1,10,0,4,1,1,0.805833,0.567917,0.11878699999999999,6042.26
102,3,1,6,0,5,1,1,0.7775,0.57375,0.182842,6813.56
103,3,1,6,0,6,0,1,0.731667,0.534583,0.179721,6500.16
104,3,1,6,0,0,0,1,0.743333,0.479167,0.145525,6236.69
105,3,1,6,0,1,1,1,0.7158329999999999,0.504167,0.300383,6856.16
106,3,1,6,0,2,1,1,0.630833,0.37333299999999997,0.347642,7042.76
107,3,1,6,0,3,1,1,0.6975,0.36,0.271775,7344.45
108,3,1,6,0,4,1,1,0.749167,0.4225,0.17165,7049.3
109,3,1,6,0,5,1,1,0.834167,0.48875,0.165417,6055.85
110,3,1,6,0,6,0,1,0.765,0.60125,0.161071,5924.53
111,3,1,7,0,0,0,1,0.815833,0.51875,0.16852899999999998,5409.96
112,3,1,7,0,1,1,1,0.781667,0.447083,0.195267,6522.92
113,3,1,7,0,2,1,1,0.780833,0.492083,0.126237,6564.28
114,3,1,7,1,3,0,1,0.789167,0.53875,0.13495,5609.34
115,3,1,7,0,4,1,1,0.8275,0.457917,0.194029,6109.05
116,3,1,7,0,5,1,1,0.828333,0.450833,0.146142,6062.93
117,3,1,7,0,6,0,1,0.861667,0.492083,0.163554,4932.38
118,3,1,7,0,0,0,1,0.8225,0.57375,0.125629,5127.51
119,3,1,7,0,1,1,2,0.710833,0.683333,0.180975,6767.07
120,3,1,7,0,2,1,2,0.720833,0.6675,0.15173699999999998,6659.75
121,3,1,7,0,3,1,1,0.716667,0.633333,0.15173299999999998,7460.53
122,3,1,7,0,4,1,1,0.7158329999999999,0.529583,0.146775,7432.69
123,3,1,7,0,5,1,2,0.731667,0.485833,0.08085,7340.5
124,3,1,7,0,6,0,2,0.703333,0.699167,0.143679,6302.6
125,3,1,7,0,0,0,1,0.745833,0.717917,0.166667,6158.09
126,3,1,7,0,1,1,1,0.763333,0.645,0.164187,6912.84
127,3,1,7,0,2,1,1,0.818333,0.505833,0.114429,6085.9
128,3,1,7,0,3,1,1,0.793333,0.577083,0.137442,6075.16
129,3,1,11,0,4,1,1,0.77,0.600417,0.165429,6980.36
130,3,1,11,0,5,1,2,0.665833,0.844167,0.208967,5572.72
131,3,1,11,0,6,0,3,0.595833,0.865417,0.2133,4299.23
132,3,1,11,0,0,0,2,0.6675,0.7625,0.09392080000000001,5868.62
133,3,1,7,0,1,1,1,0.741667,0.694167,0.138683,6994.78
134,3,1,7,0,2,1,1,0.750833,0.655,0.211454,7306.97
135,3,1,7,0,3,1,1,0.724167,0.45,0.1648,7758.48
136,3,1,7,0,4,1,1,0.776667,0.5966670000000001,0.28481300000000004,6802.9
137,3,1,7,0,5,1,1,0.781667,0.594583,0.15299200000000002,6727.24
138,3,1,7,0,6,0,1,0.755833,0.613333,0.15735,6455.49
139,3,1,7,0,0,0,1,0.7216670000000001,0.62375,0.170396,6529.68
140,3,1,7,0,1,1,1,0.730833,0.66875,0.153617,6944.45
141,3,1,7,0,2,1,1,0.713333,0.704167,0.165425,7098.22
142,3,1,8,0,3,1,1,0.7175,0.6775,0.141179,7411.93
143,3,1,8,0,4,1,1,0.7525,0.659583,0.129354,7224.91
144,3,1,8,0,5,1,2,0.765833,0.6425,0.215792,6995.74
145,3,1,8,0,6,0,1,0.793333,0.613333,0.257458,5757.49
146,3,1,8,0,0,0,1,0.769167,0.6525,0.290421,5723.23
147,3,1,8,0,1,1,2,0.7525,0.654167,0.129354,7075.02
148,3,1,8,0,2,1,2,0.735833,0.70375,0.116908,7081.25
149,3,1,8,0,3,1,2,0.75,0.672917,0.1107,7415.5
150,3,1,8,0,4,1,1,0.755833,0.620417,0.1561,7205.19
151,3,1,8,0,5,1,2,0.7158329999999999,0.7158329999999999,0.238813,6132.96
152,3,1,8,0,6,0,2,0.6925,0.732917,0.206479,6182.5
153,3,1,8,0,0,0,1,0.700833,0.530417,0.122512,6437.59
154,3,1,8,0,1,1,1,0.720833,0.545417,0.136212,7243.78
155,3,1,8,0,2,1,1,0.726667,0.686667,0.169158,6901.41
156,3,1,8,0,3,1,1,0.706667,0.619583,0.169771,7391.35
157,3,1,8,0,4,1,1,0.719167,0.519167,0.141796,7527.04
158,3,1,8,0,5,1,1,0.723333,0.570833,0.231354,7138.65
159,3,1,8,0,6,0,1,0.678333,0.603333,0.177867,6509.15
160,3,1,8,0,0,0,2,0.635833,0.711667,0.08645,5130.8
161,3,1,8,0,1,1,2,0.635833,0.734167,0.12997899999999998,6447.62
162,3,1,8,0,2,1,1,0.649167,0.67375,0.07277080000000001,7114.1
163,3,1,8,0,3,1,1,0.6675,0.677083,0.0702833,7406.52
164,3,1,8,0,4,1,1,0.695833,0.635833,0.08459580000000001,7404.87
165,3,1,8,0,5,1,2,0.7025,0.615,0.07214580000000001,7209.88
166,3,1,8,0,6,0,2,0.661667,0.712917,0.244408,5975.56
167,3,1,8,0,0,0,2,0.6533329999999999,0.845833,0.228858,5087.41
168,3,1,8,0,1,1,1,0.703333,0.730417,0.128733,6882.03
169,3,1,8,0,2,1,1,0.728333,0.62,0.190925,7101.74
170,3,1,8,0,3,1,1,0.685,0.552083,0.112562,7648.1
171,3,1,8,0,4,1,1,0.706667,0.590417,0.0771167,7408.83
